ProductionID,LineID,ProductID,Date,Shift,Output,DefectiveUnits,DowntimeHours,Defective_Categories
1,1,17,2020-07-31,Night,1569,52,1.98,"Process Issue, Machine"
2,2,51,2022-05-30,Afternoon,1908,73,1.56,"Material, Human Error"
3,3,22,2022-05-09,Night,1302,13,0.09,Machine
4,1,33,2021-11-04,Night,1195,19,0.08,"Material, Machine"
5,3,8,2022-12-27,Night,1234,37,1.95,"Machine, Material"
6,3,26,2021-10-30,Morning,609,19,0.2,"Machine, Human Error, Material"
7,4,20,2020-05-15,Night,996,30,1.34,Material
8,5,18,2020-11-13,Morning,1996,69,0.34,Process Issue
9,3,21,2020-04-12,Night,1565,38,0.59,Machine
10,3,20,2021-10-04,Night,1616,62,0.78,Human Error
11,3,40,2020-11-26,Night,1486,21,0.57,"Process Issue, Human Error"
12,5,34,2022-12-27,Morning,1138,39,0.43,Machine
13,3,25,2020-03-02,Night,770,23,0.51,"Human Error, Material"
14,4,17,2021-11-12,Morning,1941,84,1.55,"Human Error, Material"
15,5,5,2022-12-23,Night,861,23,0.33,Process Issue
16,2,46,2022-07-02,Night,1324,29,0.99,"Process Issue, Material, Machine"
17,4,15,2020-04-20,Afternoon,1234,52,0.66,"Material, Human Error"
18,3,27,2022-01-17,Night,1635,67,0.99,Material
19,4,21,2020-06-18,Afternoon,647,17,1.41,Human Error
20,4,36,2020-10-14,Afternoon,1865,92,0.78,"Material, Human Error, Machine"
21,2,17,2022-09-13,Night,1825,29,0.69,"Material, Human Error, Process Issue"
22,1,23,2022-12-26,Night,945,25,0.61,"Human Error, Machine, Material"
23,1,43,2022-05-04,Morning,786,19,1.46,Human Error
24,4,22,2021-05-06,Afternoon,1514,36,1.22,"Human Error, Material"
25,3,28,2022-11-22,Afternoon,1891,49,1.44,"Machine, Human Error"
26,1,31,2021-09-15,Afternoon,769,32,0.7,"Material, Machine"
27,2,5,2022-11-18,Afternoon,630,26,1.04,"Process Issue, Human Error"
28,5,42,2022-07-04,Morning,1638,22,1.54,Material
29,4,5,2020-12-02,Morning,1197,13,0.24,"Machine, Process Issue, Material"
30,2,52,2021-01-12,Night,549,14,1.59,"Human Error, Machine"
31,4,13,2021-12-09,Afternoon,1556,53,0.1,"Machine, Material"
32,2,45,2020-03-02,Night,1697,42,0.31,"Machine, Human Error"
33,4,13,2021-12-15,Night,773,22,0.15,Machine
34,4,21,2020-08-02,Night,563,19,1.88,Material
35,2,28,2021-01-27,Morning,599,9,0.26,"Machine, Material"
36,2,2,2022-07-17,Afternoon,589,10,1.48,Material
37,3,46,2022-06-28,Morning,897,24,1.36,Material
38,4,24,2020-07-07,Morning,1468,71,1.35,"Machine, Process Issue, Human Error"
39,1,28,2020-06-03,Afternoon,1883,83,0.23,"Human Error, Process Issue, Material"
40,4,11,2021-01-01,Afternoon,1905,22,1.27,Machine
41,2,18,2020-04-15,Night,1908,40,0.96,Material
42,2,2,2021-05-16,Afternoon,1662,51,1.3,"Human Error, Machine, Process Issue"
43,2,33,2020-04-06,Afternoon,1183,13,1.26,"Machine, Material, Human Error"
44,2,34,2022-03-02,Morning,1825,47,1.79,Material
45,5,27,2020-02-12,Morning,1827,42,1.66,Machine
46,2,8,2021-01-05,Afternoon,1080,39,0.25,"Machine, Human Error"
47,2,11,2021-12-07,Morning,1164,34,0.91,"Machine, Process Issue"
48,2,6,2020-11-06,Night,1597,52,0.75,Process Issue
49,2,32,2020-09-05,Morning,629,15,1.76,"Human Error, Machine"
50,5,38,2022-09-14,Night,571,24,1.53,Human Error
51,4,10,2021-09-07,Morning,522,15,1.21,Material
52,4,14,2021-01-18,Morning,511,9,0.37,Human Error
53,3,46,2022-08-23,Afternoon,1498,61,0.48,"Material, Machine, Human Error"
54,4,21,2020-02-09,Afternoon,1252,24,1.68,Machine
55,4,24,2021-12-27,Afternoon,1644,61,0.45,Material
56,3,9,2022-12-05,Night,1465,64,0.03,Process Issue
57,1,12,2020-05-22,Night,559,28,0.84,Material
58,2,24,2022-05-21,Night,619,29,1.64,Human Error
59,1,31,2020-03-10,Night,912,16,0.24,Machine
60,4,9,2022-12-24,Afternoon,956,46,0.19,"Material, Human Error, Machine"
61,3,2,2021-06-23,Afternoon,1909,54,0.91,Human Error
62,4,39,2022-05-20,Afternoon,1689,71,1.7,"Process Issue, Machine"
63,1,38,2021-10-09,Afternoon,1453,72,0.51,Material
64,3,19,2022-06-01,Night,1230,17,0.95,"Human Error, Machine"
65,4,22,2022-03-29,Night,1266,54,0.04,Machine
66,3,34,2021-04-25,Night,1490,26,0.42,Material
67,4,14,2022-06-02,Night,1439,51,0.57,"Machine, Process Issue"
68,3,35,2021-04-06,Night,533,23,0.24,"Material, Machine"
69,2,20,2022-08-12,Night,1175,19,0.3,"Machine, Process Issue"
70,3,4,2021-08-05,Morning,1856,76,1.02,"Process Issue, Material, Machine"
71,5,33,2022-09-18,Afternoon,606,28,1.57,"Machine, Material"
72,3,3,2022-07-12,Morning,1199,18,1.4,"Material, Process Issue, Machine"
73,2,26,2021-07-17,Afternoon,1598,53,1.92,Process Issue
74,3,52,2022-05-25,Afternoon,1033,27,0.16,"Human Error, Material"
75,3,46,2021-04-21,Morning,634,29,0.28,Process Issue
76,5,44,2020-08-16,Night,575,6,1.88,"Material, Machine"
77,2,32,2021-05-25,Afternoon,745,16,1.18,"Material, Process Issue, Human Error"
78,5,33,2021-09-12,Morning,1233,27,0.02,Material
79,5,47,2021-12-21,Morning,1443,39,1.9,Human Error
80,2,37,2020-07-19,Night,1298,61,0.36,"Machine, Human Error, Material"
81,1,45,2022-09-22,Afternoon,639,8,1.63,"Machine, Process Issue"
82,3,17,2020-01-16,Afternoon,965,29,0.87,"Process Issue, Human Error, Machine"
83,4,16,2021-05-01,Night,1241,58,1.69,"Material, Human Error"
84,4,48,2022-08-31,Afternoon,1543,41,1.03,"Machine, Material"
85,2,44,2020-06-09,Night,1484,41,1.85,Human Error
86,2,29,2020-10-11,Morning,1524,63,0.18,"Process Issue, Material, Human Error"
87,4,50,2020-10-15,Afternoon,1593,72,0.25,"Human Error, Material"
88,5,22,2022-07-09,Morning,974,12,0.2,Material
89,2,19,2020-12-26,Afternoon,1673,78,1.23,Human Error
90,5,33,2022-08-15,Afternoon,1424,43,0.82,"Human Error, Process Issue"
91,1,42,2021-03-04,Night,1190,33,0.53,"Human Error, Material"
92,2,15,2020-01-22,Morning,1622,36,0.76,"Material, Human Error"
93,3,40,2021-10-29,Afternoon,1119,17,1.2,"Process Issue, Machine"
94,2,5,2021-08-26,Afternoon,864,10,0.73,Machine
95,4,34,2022-02-07,Afternoon,1245,25,0.02,"Human Error, Machine"
96,1,1,2020-05-04,Afternoon,791,14,0.08,"Process Issue, Machine, Human Error"
97,4,19,2022-05-29,Morning,1482,22,0.75,"Process Issue, Material, Machine"
98,2,3,2020-09-30,Afternoon,1698,54,1.3,"Machine, Process Issue"
99,2,31,2021-06-08,Night,823,14,1.79,Machine
100,4,47,2020-11-23,Morning,1094,32,0.15,"Process Issue, Human Error, Material"
101,1,4,2022-09-13,Morning,1588,62,1.7,"Machine, Process Issue"
102,5,10,2020-02-06,Night,1680,27,0.47,"Human Error, Process Issue, Machine"
103,1,11,2020-04-27,Afternoon,1209,28,1.39,Machine
104,2,35,2020-07-15,Morning,576,24,1.38,Process Issue
105,1,18,2020-01-31,Night,1971,31,1.75,"Process Issue, Machine, Material"
106,2,2,2021-09-21,Night,1430,49,0.38,"Process Issue, Material, Machine"
107,1,3,2020-12-28,Night,1924,38,0.56,"Process Issue, Material"
108,1,32,2020-10-12,Morning,692,26,0.77,"Machine, Material, Human Error"
109,5,16,2022-07-26,Afternoon,1076,13,1.54,"Process Issue, Human Error, Machine"
110,5,47,2021-06-02,Morning,1102,46,1.72,"Human Error, Process Issue"
111,4,15,2022-11-30,Night,502,23,0.04,"Process Issue, Human Error, Machine"
112,4,35,2021-01-22,Afternoon,1155,13,1.68,"Machine, Process Issue"
113,1,24,2020-10-01,Morning,1724,51,1.18,Process Issue
114,4,13,2021-07-30,Afternoon,822,26,0.32,Material
115,3,9,2021-05-22,Afternoon,1223,56,0.88,"Machine, Human Error"
116,4,27,2022-01-21,Morning,590,14,1.7,"Process Issue, Material"
117,2,16,2021-08-08,Night,1140,33,1.1,Machine
118,5,24,2021-10-26,Afternoon,1041,26,0.55,Process Issue
119,1,19,2022-09-11,Afternoon,1383,36,1.74,"Human Error, Machine"
120,3,34,2022-02-18,Morning,901,36,1.65,"Material, Human Error"
121,4,31,2022-04-02,Morning,1795,28,0.11,Machine
122,2,21,2020-03-14,Night,1758,69,0.68,"Machine, Process Issue"
123,3,31,2021-06-11,Afternoon,1319,55,1.75,Human Error
